127.0.0.1 - - [10/Apr/2020:19:11:01 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [10/Apr/2020:19:11:02 +0900] "GET /BBS/ HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [10/Apr/2020:19:11:02 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2251
0:0:0:0:0:0:0:1 - - [10/Apr/2020:19:11:02 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [10/Apr/2020:19:11:02 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [10/Apr/2020:19:11:41 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [10/Apr/2020:19:11:53 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [10/Apr/2020:19:11:53 +0900] "GET /BBS/main.jsp HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [10/Apr/2020:19:12:22 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [10/Apr/2020:19:13:39 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [10/Apr/2020:19:26:23 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2252
0:0:0:0:0:0:0:1 - - [10/Apr/2020:19:26:23 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2020:19:26:23 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2020:19:26:27 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [10/Apr/2020:19:33:27 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [10/Apr/2020:19:33:34 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [10/Apr/2020:19:33:34 +0900] "GET /BBS/main.jsp HTTP/1.1" 404 766
